Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
running,annoy,concrete-positive,abstract-negative,MaxMismatch
running,befall,concrete-positive,abstract-negative,MaxMismatch
running,criticize,concrete-positive,abstract-negative,MaxMismatch
running,exploit,concrete-positive,abstract-negative,MaxMismatch
running,loathe,concrete-positive,abstract-negative,MaxMismatch
running,obsess,concrete-positive,abstract-negative,MaxMismatch
running,resent,concrete-positive,abstract-negative,MaxMismatch
running,scorn,concrete-positive,abstract-negative,MaxMismatch
running,violate,concrete-positive,abstract-negative,MaxMismatch
running,worry,concrete-positive,abstract-negative,MaxMismatch
sail,annoy,concrete-positive,abstract-negative,MaxMismatch
sail,befall,concrete-positive,abstract-negative,MaxMismatch
sail,criticize,concrete-positive,abstract-negative,MaxMismatch
sail,exploit,concrete-positive,abstract-negative,MaxMismatch
sail,loathe,concrete-positive,abstract-negative,MaxMismatch
sail,obsess,concrete-positive,abstract-negative,MaxMismatch
sail,resent,concrete-positive,abstract-negative,MaxMismatch
sail,scorn,concrete-positive,abstract-negative,MaxMismatch
sail,violate,concrete-positive,abstract-negative,MaxMismatch
sail,worry,concrete-positive,abstract-negative,MaxMismatch
smile,annoy,concrete-positive,abstract-negative,MaxMismatch
smile,befall,concrete-positive,abstract-negative,MaxMismatch
smile,criticize,concrete-positive,abstract-negative,MaxMismatch
smile,exploit,concrete-positive,abstract-negative,MaxMismatch
smile,loathe,concrete-positive,abstract-negative,MaxMismatch
smile,obsess,concrete-positive,abstract-negative,MaxMismatch
smile,resent,concrete-positive,abstract-negative,MaxMismatch
smile,scorn,concrete-positive,abstract-negative,MaxMismatch
smile,violate,concrete-positive,abstract-negative,MaxMismatch
smile,worry,concrete-positive,abstract-negative,MaxMismatch
swing,annoy,concrete-positive,abstract-negative,MaxMismatch
swing,befall,concrete-positive,abstract-negative,MaxMismatch
swing,criticize,concrete-positive,abstract-negative,MaxMismatch
swing,exploit,concrete-positive,abstract-negative,MaxMismatch
swing,loathe,concrete-positive,abstract-negative,MaxMismatch
swing,obsess,concrete-positive,abstract-negative,MaxMismatch
swing,resent,concrete-positive,abstract-negative,MaxMismatch
swing,scorn,concrete-positive,abstract-negative,MaxMismatch
swing,violate,concrete-positive,abstract-negative,MaxMismatch
swing,worry,concrete-positive,abstract-negative,MaxMismatch
bleed,imagine,concrete-negative,abstract-positive,MaxMismatch
bleed,enlighten,concrete-negative,abstract-positive,MaxMismatch
bleed,admired,concrete-negative,abstract-positive,MaxMismatch
bleed,cherish,concrete-negative,abstract-positive,MaxMismatch
bleed,hope,concrete-negative,abstract-positive,MaxMismatch
bleed,believe,concrete-negative,abstract-positive,MaxMismatch
bleed,fulfill,concrete-negative,abstract-positive,MaxMismatch
bleed,esteem,concrete-negative,abstract-positive,MaxMismatch
bleed,justify,concrete-negative,abstract-positive,MaxMismatch
bleed,respect,concrete-negative,abstract-positive,MaxMismatch
kill,imagine,concrete-negative,abstract-positive,MaxMismatch
kill,enlighten,concrete-negative,abstract-positive,MaxMismatch
kill,admired,concrete-negative,abstract-positive,MaxMismatch
kill,cherish,concrete-negative,abstract-positive,MaxMismatch
kill,hope,concrete-negative,abstract-positive,MaxMismatch
kill,believe,concrete-negative,abstract-positive,MaxMismatch
kill,fulfill,concrete-negative,abstract-positive,MaxMismatch
kill,esteem,concrete-negative,abstract-positive,MaxMismatch
kill,justify,concrete-negative,abstract-positive,MaxMismatch
