Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
loathe,believe,abstract-negative,abstract-positive,ConceptualMatchingOnly
loathe,fulfill,abstract-negative,abstract-positive,ConceptualMatchingOnly
loathe,esteem,abstract-negative,abstract-positive,ConceptualMatchingOnly
loathe,justify,abstract-negative,abstract-positive,ConceptualMatchingOnly
loathe,respect,abstract-negative,abstract-positive,ConceptualMatchingOnly
obsess,imagine,abstract-negative,abstract-positive,ConceptualMatchingOnly
obsess,enlighten,abstract-negative,abstract-positive,ConceptualMatchingOnly
obsess,admired,abstract-negative,abstract-positive,ConceptualMatchingOnly
obsess,cherish,abstract-negative,abstract-positive,ConceptualMatchingOnly
obsess,hope,abstract-negative,abstract-positive,ConceptualMatchingOnly
obsess,believe,abstract-negative,abstract-positive,ConceptualMatchingOnly
obsess,fulfill,abstract-negative,abstract-positive,ConceptualMatchingOnly
obsess,esteem,abstract-negative,abstract-positive,ConceptualMatchingOnly
obsess,justify,abstract-negative,abstract-positive,ConceptualMatchingOnly
obsess,respect,abstract-negative,abstract-positive,ConceptualMatchingOnly
resent,imagine,abstract-negative,abstract-positive,ConceptualMatchingOnly
resent,enlighten,abstract-negative,abstract-positive,ConceptualMatchingOnly
resent,admired,abstract-negative,abstract-positive,ConceptualMatchingOnly
resent,cherish,abstract-negative,abstract-positive,ConceptualMatchingOnly
resent,hope,abstract-negative,abstract-positive,ConceptualMatchingOnly
resent,believe,abstract-negative,abstract-positive,ConceptualMatchingOnly
resent,fulfill,abstract-negative,abstract-positive,ConceptualMatchingOnly
resent,esteem,abstract-negative,abstract-positive,ConceptualMatchingOnly
resent,justify,abstract-negative,abstract-positive,ConceptualMatchingOnly
resent,respect,abstract-negative,abstract-positive,ConceptualMatchingOnly
scorn,imagine,abstract-negative,abstract-positive,ConceptualMatchingOnly
scorn,enlighten,abstract-negative,abstract-positive,ConceptualMatchingOnly
scorn,admired,abstract-negative,abstract-positive,ConceptualMatchingOnly
scorn,cherish,abstract-negative,abstract-positive,ConceptualMatchingOnly
scorn,hope,abstract-negative,abstract-positive,ConceptualMatchingOnly
scorn,believe,abstract-negative,abstract-positive,ConceptualMatchingOnly
scorn,fulfill,abstract-negative,abstract-positive,ConceptualMatchingOnly
scorn,esteem,abstract-negative,abstract-positive,ConceptualMatchingOnly
scorn,justify,abstract-negative,abstract-positive,ConceptualMatchingOnly
scorn,respect,abstract-negative,abstract-positive,ConceptualMatchingOnly
violate,imagine,abstract-negative,abstract-positive,ConceptualMatchingOnly
violate,enlighten,abstract-negative,abstract-positive,ConceptualMatchingOnly
violate,admired,abstract-negative,abstract-positive,ConceptualMatchingOnly
violate,cherish,abstract-negative,abstract-positive,ConceptualMatchingOnly
violate,hope,abstract-negative,abstract-positive,ConceptualMatchingOnly
violate,believe,abstract-negative,abstract-positive,ConceptualMatchingOnly
violate,fulfill,abstract-negative,abstract-positive,ConceptualMatchingOnly
violate,esteem,abstract-negative,abstract-positive,ConceptualMatchingOnly
violate,justify,abstract-negative,abstract-positive,ConceptualMatchingOnly
violate,respect,abstract-negative,abstract-positive,ConceptualMatchingOnly
worry,imagine,abstract-negative,abstract-positive,ConceptualMatchingOnly
worry,enlighten,abstract-negative,abstract-positive,ConceptualMatchingOnly
worry,admired,abstract-negative,abstract-positive,ConceptualMatchingOnly
worry,cherish,abstract-negative,abstract-positive,ConceptualMatchingOnly
worry,hope,abstract-negative,abstract-positive,ConceptualMatchingOnly
worry,believe,abstract-negative,abstract-positive,ConceptualMatchingOnly
worry,fulfill,abstract-negative,abstract-positive,ConceptualMatchingOnly
worry,esteem,abstract-negative,abstract-positive,ConceptualMatchingOnly
worry,justify,abstract-negative,abstract-positive,ConceptualMatchingOnly
worry,respect,abstract-negative,abstract-positive,ConceptualMatchingOnly
