Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,FeatureMatchSpecific
eat,esteem,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
eat,justify,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
eat,respect,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
hug,build,concrete-positive,concrete-positive,MaxMatch,cp-cp
hug,cook,concrete-positive,concrete-positive,MaxMatch,cp-cp
hug,cuddle,concrete-positive,concrete-positive,MaxMatch,cp-cp
hug,eat,concrete-positive,concrete-positive,MaxMatch,cp-cp
hug,hug,concrete-positive,concrete-positive,SelfPair,cp-cp
hug,kiss,concrete-positive,concrete-positive,MaxMatch,cp-cp
hug,running,concrete-positive,concrete-positive,MaxMatch,cp-cp
hug,sail,concrete-positive,concrete-positive,MaxMatch,cp-cp
hug,smile,concrete-positive,concrete-positive,MaxMatch,cp-cp
hug,swing,concrete-positive,concrete-positive,MaxMatch,cp-cp
hug,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
hug,kill,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
hug,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
hug,puke,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
hug,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
hug,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
hug,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
hug,spit,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
hug,stab,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
hug,vomit,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
hug,annoy,concrete-positive,abstract-negative,MaxMismatch,cp-an
hug,befall,concrete-positive,abstract-negative,MaxMismatch,cp-an
hug,criticize,concrete-positive,abstract-negative,MaxMismatch,cp-an
hug,exploit,concrete-positive,abstract-negative,MaxMismatch,cp-an
hug,loathe,concrete-positive,abstract-negative,MaxMismatch,cp-an
hug,obsess,concrete-positive,abstract-negative,MaxMismatch,cp-an
hug,resent,concrete-positive,abstract-negative,MaxMismatch,cp-an
hug,scorn,concrete-positive,abstract-negative,MaxMismatch,cp-an
hug,violate,concrete-positive,abstract-negative,MaxMismatch,cp-an
hug,worry,concrete-positive,abstract-negative,MaxMismatch,cp-an
hug,imagine,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
hug,enlighten,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
hug,admired,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
hug,cherish,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
hug,hope,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
hug,believe,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
hug,fulfill,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
hug,esteem,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
hug,justify,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
hug,respect,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
kiss,build,concrete-positive,concrete-positive,MaxMatch,cp-cp
kiss,cook,concrete-positive,concrete-positive,MaxMatch,cp-cp
kiss,cuddle,concrete-positive,concrete-positive,MaxMatch,cp-cp
kiss,eat,concrete-positive,concrete-positive,MaxMatch,cp-cp
kiss,hug,concrete-positive,concrete-positive,MaxMatch,cp-cp
kiss,kiss,concrete-positive,concrete-positive,SelfPair,cp-cp
kiss,running,concrete-positive,concrete-positive,MaxMatch,cp-cp
kiss,sail,concrete-positive,concrete-positive,MaxMatch,cp-cp
kiss,smile,concrete-positive,concrete-positive,MaxMatch,cp-cp
kiss,swing,concrete-positive,concrete-positive,MaxMatch,cp-cp
kiss,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
kiss,kill,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
kiss,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
kiss,puke,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
kiss,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
kiss,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
kiss,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
kiss,spit,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
kiss,stab,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
kiss,vomit,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
kiss,annoy,concrete-positive,abstract-negative,MaxMismatch,cp-an
kiss,befall,concrete-positive,abstract-negative,MaxMismatch,cp-an
kiss,criticize,concrete-positive,abstract-negative,MaxMismatch,cp-an
kiss,exploit,concrete-positive,abstract-negative,MaxMismatch,cp-an
kiss,loathe,concrete-positive,abstract-negative,MaxMismatch,cp-an
kiss,obsess,concrete-positive,abstract-negative,MaxMismatch,cp-an
kiss,resent,concrete-positive,abstract-negative,MaxMismatch,cp-an
kiss,scorn,concrete-positive,abstract-negative,MaxMismatch,cp-an
kiss,violate,concrete-positive,abstract-negative,MaxMismatch,cp-an
kiss,worry,concrete-positive,abstract-negative,MaxMismatch,cp-an
kiss,imagine,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
kiss,enlighten,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
